"","doc_id","timestamp","favorite_count","retweet_count","text"
"51",51,2015-11-08 14:25:00,1664,639,"@CleopattraUSA @realDonaldTrump @nbcsnl Youve got it going on Nothing is boring or low energy about you #EverybodyRockWTrumpNow #SNL"
"52",52,2015-11-08 15:57:00,5603,2037,"Television ratings for @nbcsnl Saturday Night Live just came out and they were great  the best since      Very few protesters"
"53",53,2015-11-08 22:17:00,2459,1014,"@EricShawnonFox Highest rated Saturday Night Live in four years    higher than their opening night with Hillary  Miley Cyrus Nice words"
"54",54,2015-11-08 22:24:00,2042,867,"@coltsfan    @realDonaldTrump @EricShawnonFox "
"55",55,2015-11-08 22:24:00,1084,453,"@EmitteLucemTuam @realDonaldTrump @EricShawnonFox Great job Donald Good luck from Canada"
"56",56,2015-11-08 22:24:00,1073,404,"@tegodreaux @realDonaldTrump @EricShawnonFox HUUUUUGE"
"57",57,2015-11-08 22:25:00,1649,550,"@MyPresidentme @EricShawnonFox Thats because people are interested in you  youve got a great sense of humor unlike Hillary #Trump    "
"58",58,2015-11-08 22:26:00,1247,477,"@SpecialKMB     @nbcsnl  @realDonaldTrump was hilarious ty we so enjoyed it #TrumpTrainSNL #TrumpOnSNL #MakeAmericaGreatAgain"
"59",59,2015-11-08 22:27:00,1582,540,"@mcjeff   @realDonaldTrump you made SNL great again  @nbcsnl"
"60",60,2015-11-08 22:40:00,1179,533,"@WineChics Trump Winery  via @WineChics Always an amazing experience at Trump Winery Beautiful fall foliage"
"61",61,2015-11-08 22:46:00,1482,521,"@salyboy  @realDonaldTrump great job on SNL mr trump funny funny  Thanks"
"62",62,2015-11-08 22:48:00,1356,992,"@Watchman the  Chuck Schumer Sen Marco Rubio Is Totally Committed To Obamas Immigration Agenda  DonaldTrump"
"63",63,2015-11-08 23:26:00,2425,1081,"@Variety Ratings DonaldTrump lifted #SNL to a near fouryear high   TRUMP RATINGS GOLD"
"64",64,2015-11-08 23:31:00,1926,730,"@TradingStreetCoDonald Trump Is Ratings Gold For SNL Donald Trump Is Ratings Gold For SNL   @FoxNews  @CNN"
"65",65,2015-11-09 00:47:00,5562,1627,"Thank you to all of those who gave me such wonderful reviews for my performance on @nbcsnl Saturday Night Live Best ratings in   years"
"66",66,2015-11-09 00:55:00,2399,1004,"@dlustv Trump SNL Episode Generates Highest Ratings Since      At the very least Donald Trump is making Sat "
"67",67,2015-11-09 18:04:00,1939,1030,"@BetsyMcCaughey Thanks so much Really appreciate your comments  I will help the veterans like no one else   "
"68",68,2015-11-09 20:03:00,1957,1201,"@CNN  should listen Ana Navarro has no talent no TV persona and works for Busha total conflict of interest  "
"69",69,2015-11-09 20:43:00,2065,879,"Thanks Piers Greatly appreciated @piersmorgan  "
"70",70,2015-11-10 00:27:00,2144,813,"Great job on @Greta @DonaldJTrumpJr Nobody could have done it better"
"71",71,2015-11-10 03:21:00,3078,1447,"A great evening in Springfield Illinois Thank you for all of the support #Trump     "
"72",72,2015-11-10 03:35:00,3930,1787,"Marco Rubio is a total lightweight who I wouldnt hire to run one of my smaller companies  a highly overrated politician"
"73",73,2015-11-10 03:37:00,2531,1158,"Marco Rubio couldnt even respond properly to President Obamas State of the Union Speech without pouring sweat  chugging water He choked"
"74",74,2015-11-10 03:39:00,2764,1590,"Marco Rubio is totally weak on illegal immigration  in favor of easy amnesty A lightweight choker  bad for #USA"
"75",75,2015-11-10 04:03:00,1903,762,"Thank you to @NYPosts Robert Rorke for the really nice review of #SNL So many enjoyed it  very gratifying "
"76",76,2015-11-10 04:42:00,2839,1531,"#MakeAmericaGreatAgain #Trump     "
"77",77,2015-11-10 05:54:00,952,429,"@KazmierskiR @realDonaldTrump @DonaldJTrumpJr OuTsTaNdInG Is obvious that Jr has much of his fathers charisma and intelligence"
"78",78,2015-11-10 05:58:00,952,469,"@teedchris @Loyal Trump     @TrumpAlabama  @FoxNews Look when you try to kill Your momthats it for me no walking on water"
"79",79,2015-11-10 06:00:00,912,391,"@freedoms    @wakeuppeopleSOS @mitchellvii  @CNN @ABC @CBS It shouldnt be ignored and I doubt it will be Carson will drop in polls"
"80",80,2015-11-10 06:00:00,1291,614,"@RM     @realDonaldTrump Man I love the where you spoke the truth about Hillary We have waited so long for someone to do this"
"81",81,2015-11-10 06:00:00,1086,480,"@kniala @realDonaldTrump Exactly Marco has no accomplishments"
"82",82,2015-11-10 06:01:00,1153,490,"@burgettn @AB     @realDonaldTrump its the only way we can make America great again"
"83",83,2015-11-10 06:03:00,1988,813,"@JimmyGould   Only one man has the appeal nerve commitment ideas  motivation Hes the icon business tycoon and lovable DonaldTrump"
"84",84,2015-11-10 08:12:00,1028,430,"@BreitbartNews Ratings were HUGE for @realDonaldTrumps appearance on Saturday Night Live  "
"85",85,2015-11-10 08:12:00,1375,577,"@TODAYshow Trumps #SNL show delivered the biggest overnight ratings since early       "
"86",86,2015-11-10 08:13:00,1153,496,"@Fox    DonaldTrump Saturday Night Live episode garners highest viewership since       "
"87",87,2015-11-10 08:17:00,1396,549,"@foxandfriends  Trump helps SNL blow roof off the ratings most viewers since       "
"88",88,2015-11-10 08:22:00,1596,667,"@USATODAY Donald Trump lifted #SNL to its best ratings since        Photo NBC "
